feature_name,min,max,mean,std,unique_values,coefficient_of_variation,near_constant
harmony__common_name_perfect_octave,0.0472972972972973,0.275,0.17949673811742778,0.09896553846930668,3,0.5513500663425029,False
duration_bin_0_25_0_5,0.1666666666666666,0.7987421383647799,0.43520875043833795,0.24085068842914006,7,0.5534141677678991,False
rhythm__duration_bin_0_25_0_5,0.1666666666666666,0.7987421383647799,0.43520875043833795,0.24085068842914006,7,0.5534141677678991,False
pitch__pitch_class_7,0.0143540669856459,0.21875,0.1307113032325291,0.07720410013510981,8,0.5906459367004201,False
pitch_class_7,0.0143540669856459,0.21875,0.1307113032325291,0.07720410013510981,8,0.5906459367004201,False
rhythm__long_note_ratio,0.0,0.1818181818181818,0.116396504110843,0.07057376014386582,7,0.6063219912228572,False
interval_3,0.0,0.2222222222222222,0.1001998400355644,0.06218202423244455,8,0.6205800748820955,False
pitch__melodic_interval_3,0.0,0.2222222222222222,0.1001998400355644,0.06218202423244455,8,0.6205800748820955,False
source_total_measures,26.0,133.0,66.5,42.31134599608006,4,0.6362608420463166,False
interval_2,0.0759493670886076,0.4298245614035088,0.20071182452024977,0.12809978508127237,8,0.6382273958570309,False
pitch__melodic_interval_2,0.0759493670886076,0.4298245614035088,0.20071182452024977,0.12809978508127237,8,0.6382273958570309,False
interval_4,0.0,0.0994764397905759,0.04918008397473399,0.03261248344618858,8,0.6631237852896524,False
pitch__melodic_interval_4,0.0,0.0994764397905759,0.04918008397473399,0.03261248344618858,8,0.6631237852896524,False
harmony__common_name_minor_triad,0.05,0.3235294117647059,0.14856640973222773,0.10129881251344183,7,0.6818419634426126,False
interval_8,0.0,0.0471204188481675,0.021107921214416885,0.015592342336149211,7,0.7386962542526221,False
pitch__melodic_interval_8,0.0,0.0471204188481675,0.021107921214416885,0.015592342336149211,7,0.7386962542526221,False
interval_5,0.0126582278481012,0.1361256544502617,0.06054611684828058,0.045350887351870345,8,0.7490304863896196,False
pitch__melodic_interval_5,0.0126582278481012,0.1361256544502617,0.06054611684828058,0.045350887351870345,8,0.7490304863896196,False
duration_bin_lt_0_25,0.0188679245283018,0.8333333333333334,0.42105526857486075,0.31660516648552944,7,0.7519325611507915,False
rhythm__duration_bin_lt_0_25,0.0188679245283018,0.8333333333333334,0.42105526857486075,0.31660516648552944,7,0.7519325611507915,False
duration_bin_0_5_1,0.0,0.2626262626262626,0.11029620306456628,0.08299358978174554,7,0.7524609866503014,False
rhythm__duration_bin_0_5_1,0.0,0.2626262626262626,0.11029620306456628,0.08299358978174554,7,0.7524609866503014,False
rhythm__ioi_entropy,0.0,1.4142790651247086,0.5270587940750843,0.42885470830762407,6,0.8136752732874994,False
pitch__pitch_class_1,0.0,0.0220588235294117,0.008443052914352912,0.00715431956971154,7,0.8473616880393385,False
pitch_class_1,0.0,0.0220588235294117,0.008443052914352912,0.00715431956971154,7,0.8473616880393385,False
interval_7,0.0,0.1473684210526315,0.05886652530547998,0.0514108302382825,8,0.8733457592662869,False
pitch__melodic_interval_7,0.0,0.1473684210526315,0.05886652530547998,0.0514108302382825,8,0.8733457592662869,False
texture__chord_event_ratio,0.0,0.7671232876712328,0.3216843745222976,0.312170363099279,7,0.970424390562498,False
interval_0,0.0052356020942408,0.7222222222222222,0.29584264817313854,0.2941631045018784,8,0.9943228480354961,False
pitch__melodic_interval_0,0.0052356020942408,0.7222222222222222,0.29584264817313854,0.2941631045018784,8,0.9943228480354961,False
pitch__accidental_density,0.0,0.2648648648648649,0.0873097905254929,0.09087906175900776,8,1.0408805382767778,False
pitch__chromatic_pitch_ratio,0.0,0.2648648648648649,0.0873097905254929,0.09087906175900776,8,1.0408805382767778,False
pitch__pitch_class_8,0.0,0.0415584415584415,0.01567184311545211,0.016402970036042647,5,1.0466522613329163,False
pitch_class_8,0.0,0.0415584415584415,0.01567184311545211,0.016402970036042647,5,1.0466522613329163,False
duration_bin_1_2,0.0,0.0267175572519083,0.010756251529567138,0.011440255327800755,5,1.0635912795785227,False
rhythm__duration_bin_1_2,0.0,0.0267175572519083,0.010756251529567138,0.011440255327800755,5,1.0635912795785227,False
interval_12_plus,0.0,0.0947368421052631,0.0333059456183187,0.03685012064192228,8,1.1064126827149516,False
pitch__melodic_interval_12_plus,0.0,0.0947368421052631,0.0333059456183187,0.03685012064192228,8,1.1064126827149516,False
pitch__pitch_class_3,0.0,0.0675324675324675,0.02363621578259734,0.026501904225964764,6,1.1212414233194363,False
pitch_class_3,0.0,0.0675324675324675,0.02363621578259734,0.026501904225964764,6,1.1212414233194363,False
interval_6,0.0,0.0408163265306122,0.011792979224382926,0.013694755058209544,6,1.1612633921964812,False
pitch__melodic_interval_6,0.0,0.0408163265306122,0.011792979224382926,0.013694755058209544,6,1.1612633921964812,False
interval_9,0.0,0.0631578947368421,0.019165494753312223,0.024021297082335864,5,1.2533616998426014,False
pitch__melodic_interval_9,0.0,0.0631578947368421,0.019165494753312223,0.024021297082335864,5,1.2533616998426014,False
rhythm__ioi_bin_duration_bin_0_25_0_5,0.0,0.6666666666666666,0.19169372294372292,0.2538688832570854,5,1.3243463550009706,False
harmony__seventh_chord_ratio,0.0,0.5789473684210527,0.17001990639593276,0.23077089253325875,5,1.3573169014447786,False
pitch__pitch_class_6,0.0,0.1513513513513513,0.034505925501855085,0.05291889300163068,7,1.5336175521153808,False
pitch_class_6,0.0,0.1513513513513513,0.034505925501855085,0.05291889300163068,7,1.5336175521153808,False
interval_10,0.0,0.0421052631578947,0.010390161255581837,0.016850235764143875,4,1.6217492057778733,False
pitch__melodic_interval_10,0.0,0.0421052631578947,0.010390161255581837,0.016850235764143875,4,1.6217492057778733,False
duration_bin_2_4,0.0,0.0958904109589041,0.022683526392667738,0.03837001111231855,4,1.6915364237511739,False
rhythm__duration_bin_2_4,0.0,0.0958904109589041,0.022683526392667738,0.03837001111231855,4,1.6915364237511739,False
pitch__pitch_class_10,0.0,0.0272108843537414,0.0050527532112353245,0.008655066082679463,5,1.7129405931471222,False
pitch_class_10,0.0,0.0272108843537414,0.0050527532112353245,0.008655066082679463,5,1.7129405931471222,False
interval_11,0.0,0.003831417624521,0.000478927203065125,0.0012671222754140519,2,2.6457513110645907,False
pitch__melodic_interval_11,0.0,0.003831417624521,0.000478927203065125,0.0012671222754140519,2,2.6457513110645907,False
